Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Borderline intellectual disability with congenital heart disease due to other chromosomal abnormalities,Borderline intellectual disability with congenital heart disease,(combined DW),0.011,0.005,0.02
"Mild intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
Asymptomatic other chromosomal abnormalities,Asymptomatic,--,,,
Mild intellectual disability with congenital heart disease due to other chromosomal abnormalities,Mild intellectual disability with congenital heart disease,(combined DW),0.043,0.026,0.064
"Borderline intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
Moderate intellectual disability with congenital heart disease due to other chromosomal abnormalities,Moderate intellectual disability with congenital heart disease,(combined DW),0.1,0.066,0.142
Isolated congenital heart disease due to other chromosomal abnormalities,Congenital heart disease,(custom DW from MEPS),,,
Severe dementia due to other chromosomal abnormalities,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,0.449,0.304,0.595
Borderline intellectual disability due to other chromosomal abnormalities,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Severe intellectual disability with congenital heart disease due to other chromosomal abnormalities,Severe intellectual disability with congenital heart disease,(combined DW),0.16,0.107,0.226
Congenital heart disease and moderate dementia due to other chromosomal abnormalities,Congenital heart disease and moderate dementia,(combined DW),0.377,0.252,0.508
Profound intellectual disability with congenital heart disease due to other chromosomal abnormalities,Profound intellectual disability with congenital heart disease,(combined DW),0.2,0.133,0.283
Mild dementia due to other chromosomal abnormalities,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.",0.069,0.046,0.099
Congenital heart disease and mild dementia due to other chromosomal abnormalities,Congenital heart disease and mild dementia,(combined DW),0.069,0.046,0.099
Severe motor and cognitive impairment due to Edward Syndrome or Patau Syndrome,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Mild intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Moderate dementia due to other chromosomal abnormalities,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.",0.377,0.252,0.508
Congenital heart disease and severe dementia due to other chromosomal abnormalities,Congenital heart disease and severe dementia,(combined DW),0.449,0.304,0.595
Moderate intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.",0.1,0.066,0.142
Mild intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
"Severe intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
"Severe intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
Severe intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.",0.16,0.107,0.226
"Profound intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
Borderline intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, borderline intellectual disability",(combined DW),0.079,0.051,0.115
Profound intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, profound intellectual disability",(combined DW),0.557,0.401,0.703
Mild intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, mild intellectual disability",(combined DW),0.109,0.071,0.159
Severe intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, severe intellectual disability",(combined DW),0.535,0.384,0.681
"Moderate intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
Moderate intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
Mild intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
Borderline intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
Severe intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, severe intellectual disability",(combined DW),0.218,0.149,0.299
Profound intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
Severe intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
Profound intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
Moderate intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
Moderate intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, moderate intellectual disability",(combined DW),0.162,0.11,0.222
"Moderate intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, moderate intellectual disability",(combined DW),0.503,0.355,0.646
"Borderline intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
"Profound intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, profound intellectual disability",(combined DW),0.255,0.178,0.346
Borderline intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, borderline intellectual disability",(combined DW),0.384,0.262,0.517
"Mild intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, mild intellectual disability",(combined DW),0.403,0.281,0.536
"Moderate intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, moderate intellectual disability",(combined DW),0.438,0.311,0.576
"Severe intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, severe intellectual disability",(combined DW),0.475,0.34,0.614
Severe motor and cognitive impairment with congenital heart disease due to Edward Syndrome or Patau Syndrome,Severe motor plus cognitive impairments and congenital heart disease,(combined DW),0.542,0.374,0.702
"Profound intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, profound intellectual disability",(combined DW),0.499,0.358,0.645
"Borderline intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, borderline intellectual disability",(combined DW),0.455,0.316,0.597
"Mild intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, mild intellectual disability",(combined DW),0.472,0.332,0.615
Profound intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.",0.2,0.133,0.283
Disfigurement level 2 with pain due to other congenital musculoskeletal anomalies,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
Disfigurement level 2 and mild motor impairment due to congenital limb deficiency,Level 2 disfigurement with mild motor impairment,(combined DW),0.076,0.051,0.112
Disfigurement level 1 due to polydactyly and syndactyly,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Disfigurement level 2 and moderate motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with moderate motor impairment,(combined DW),0.124,0.083,0.175
Disfigurement level 2 with pain due to congenital limb deficiency,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
Disfigurement level 2 due to other congenital musculoskeletal anomalies,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Disfigurement level 2 due to congenital limb deficiency,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Disfigurement level 2 with pain and moderate motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with itch/pain and moderate motor impairment,(combined DW),0.237,0.163,0.324
Disfigurement level 2 with pain and mild motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with itch/pain and mild motor impairment,(combined DW),0.196,0.132,0.275
Disfigurement level 2 with pain and mild motor impairment due to congenital limb deficiency,Level 2 disfigurement with itch/pain and mild motor impairment,(combined DW),0.196,0.132,0.275
Disfigurement level 2 and mild motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with mild motor impairment,(combined DW),0.076,0.051,0.112
Disfigurement level 2 with pain and moderate motor impairment due to congenital limb deficiency,Level 2 disfigurement with itch/pain and moderate motor impairment,(combined DW),0.237,0.163,0.324
Disfigurement level 2 and moderate motor impairment due to congenital limb deficiency,Level 2 disfigurement with moderate motor impairment,(combined DW),0.124,0.083,0.175
Incontinence and impotence due to congenital anomalies of the urinary tract,urinary incontinence and impotence,(combined DW),0.154,0.105,0.214
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and incontinence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and level 1 disfigurement",(combined DW),0.158,0.108,0.218
Atypical genitalia due to congenital genital anomalies,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
"Atypical genitalia, incontinence and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and level 1 disfigurement",(combined DW),0.158,0.108,0.218
Atypical genitalia due to congenital anomalies of the urinary tract,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
"Incontinence, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and impotence",(combined DW),0.163,0.112,0.225
Recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
Incontinence and recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,Level 1 disfigurement and urinary incontinence,(combined DW),0.149,0.101,0.206
"Atypical genitalia, incontinence, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, impotence, and level 1 disfigurement",(combined DW),0.172,0.118,0.239
Primary infertility and recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,Mild abdominal pain and primary infertility,(combined DW),,,
Asymptomatic congenital genital anomalies,Asymptomatic,--,,,
Impotence due to congenital anomalies of the urinary tract,Impotence,has difficulty in obtaining or maintaining an erection.,0.017,0.009,0.03
Impotence due to congenital genital anomalies,Impotence,has difficulty in obtaining or maintaining an erection.,0.017,0.009,0.03
Incontinence due to congenital anomalies of the urinary tract,Urinary incontinence,cannot control urinating.,0.139,0.094,0.198
Asymptomatic congenital anomalies of the urinary tract,Asymptomatic,--,,,
"Atypical genitalia, infertility, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem,  primary infertility, impotence, and level 1 disfigurement",(combined DW),0.046,0.023,0.083
"Infertility, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem,  primary infertility, and impotence",(combined DW),0.035,0.018,0.064
Impotence and recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,Mild abdominopelvic problem and impotence,(combined DW),0.028,0.014,0.05
Impotence and recurrent urinary tract infections or other abdominal issues due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and impotence,(combined DW),0.028,0.014,0.05
Primary infertility due to congenital genital anomalies,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and infertility due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and primary infertility",(combined DW),0.029,0.014,0.055
"Atypical genitalia, infertility and impotence due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and primary infertility",(combined DW),0.029,0.014,0.055
Atypical genitalia and primary infertility due to congenital genital anomalies,Disfigurement level 1 and primary infertility,(combined DW),,,
Atypical genitalia and impotence due to congenital anomalies of the urinary tract,Level 1 disfigurement and impotence,(combined DW),0.028,0.014,0.05
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and impotence",(combined DW),0.039,0.02,0.07
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, level 1 disfigurement and impotence",(combined DW),0.039,0.02,0.07
Infertility and impotence due to congenital genital anomalies,Primary infertility and impotence,(combined DW),0.025,0.012,0.045
Atypical genital and recurrent urinary tract infections and other abdominal issues due to congenital genital anomalies,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),0.022,0.011,0.041
Atypical genital and recurrent urinary tract infections and other abdominal issues due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),0.022,0.011,0.041
Atypical genitalia and incontinence due to congenital anomalies of the urinary tract,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),0.022,0.011,0.041
Atypical genitalia and impotence due to congenital genital anomalies,Level 1 disfigurement and impotence,(combined DW),0.028,0.014,0.05
Chronic abdominal pain and mild chronic respiratory problems due to congenital diaphragmatic hernia,Mild abdominopelvic problem and mild COPD and other chronic respiratory problems,(combined DW),0.03,0.016,0.053
Chronic abdominal pain and disfigurement due to congenital diaphragmatic hernia,Level 1 disfigurement with itch/pain and mild abdominopelvic problem,(combined DW),0.037,0.02,0.062
Disfigurement from scars following treatment for congenital malformations of the abdominal wall,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Chronic abdominal pain due to congenital atresia and/or stenosis of the digestive tract,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Developmental delay or mild intellectual disability due to congenital diaphragmatic hernia,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Chronic abdominal pain and/or nausea due to other congenital malformations of the digestive tract,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
"Chronic abdominal pain and/or nausea with acid reflux, dyspahgia, and/or constipation  due to other congenital malformations of the digestive tract",Mild abdominopelvic problem and moderate abdominopelvic problem,(combined DW),0.124,0.085,0.171
Disfigurement due to congenital diaphragmatic hernia,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Constipation due to congenital malformations of the abdominal wall,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Chronic respiratory problems including difficulty breaking and recurrent upper respiratory infections due to atresia and/or stenosis of the digestive tract,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019,0.011,0.033
Constipation and chronic abdominal pain due to congenital malformations of the abdominal wall,Mild abdominopelvic problem and moderate abdominopelvic problem,(combined DW),0.124,0.085,0.171
Asymptomatic congenital diaphragmatic hernia,Asymptomatic,--,,,
Asymptomatic congenital atresia and/or stenosis of the digestive tract,Asymptomatic,--,,,
Asymptomatic congenital malformations of the abdominal wall after treatment,Asymptomatic,--,,,
Asymptomatic other congenital malformations of the digestive tract,Asymptomatic,--,,,
Chronic respiratory problems and dysphagia or acid reflux due to congenital atresia and/or stenosis of the digestive tract,Mild abdominopelvic problem and mild COPD and other chronic respiratory problems,(combined DW),0.03,0.016,0.053
"Acid reflux, dyspahgia, and/or constipation due to other congenital malformations of the digestive tract","Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
Chronic abdominal pain due to congenital malformations of the abdominal wall,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
Dysphagia or acid reflux due to congenital atresia and/or stenosis of the digestive tract,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
Chronic abdominal pain due to congenital diaphragmatic hernia,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
Mild chronic respiratory problems and breathlessness due to congenital diaphragmatic hernia,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019,0.011,0.033
Chronic respiratory problems and abdominal pain due to congenital atresia and/or stenosis of the digestive tract,Mild abdominopelvic problem and mild COPD and other chronic respiratory problems,(combined DW),0.03,0.016,0.053
Dysphagia or acid reflux and chronic abdominal pain due to congenital atresia and/or stenosis of the digestive tract,Mild abdominopelvic problem and moderate abdominopelvic problem,(combined DW),0.124,0.085,0.171
Chronic abdominal pain and developmental delay due to congenital diaphragmatic hernia,Mild abdominopelvic problem and mild intellectual disability,(combined DW),0.053,0.032,0.083
Constipation and concern about scars due to congenital malformations of the abdominal wall,Mild abdominopelvic problem and level 1 disfigurement,(combined DW),0.022,0.011,0.041
Disfigurement and mild chronic respiratory problems due to congenital diaphragmatic hernia,Level 1 disfigurement with itch/pain and mild COPD and other chronic respiratory problems,(combined DW),0.045,0.026,0.073
"Chronic abdominal pain, disfigurement, developmental delay and  chronic respiratory problems due to congenital diaphragmatic hernia","Mild abdominopelvic problem, mild COPD and other chronic respiratory problems, mild intellectual disability, and level 1 disfigurement with itch/pain",(combined DW),0.096,0.057,0.148
"Disfigurement, chronic respiratory problems and developmental delay due to congenital diaphragmatic hernia","Mild COPD and other chronic respiratory problems, mild intellectual disability, and level 1 disfigurement with itch/pain",(combined DW),0.086,0.052,0.131
"Chronic abdominal pain, disfigurement and developmental delay due to congenital diaphragmatic hernia","Mild abdominopelvic problem, mild intellectual disability, and level 1 disfigurement with itch/pain",(combined DW),0.078,0.046,0.12
"Chronic abdominal pain, chronic respiratory problems and developmental delay due to congenital diaphragmatic hernia","Mild abdominopelvic problem,  mild COPD and other chronic respiratory problems, and level 1 disfigurement with itch/pain ",(combined DW),0.056,0.031,0.092
Chronic abdominal pain and concern about scars due to congenital malformations of the abdominal wall,Moderate abdominopelvic problem and level 1 disfigurement,(combined DW),0.124,0.085,0.172
"Chronic abdominal pain, disfigurement and  chronic respiratory problems due to congenital diaphragmatic hernia","Mild abdominopelvic problem,  mild COPD and other chronic respiratory problems, and level 1 disfigurement with itch/pain ",(combined DW),0.056,0.031,0.092
"Constipation, chronic abdominal pain and concern about scars due to congenital malformations of the abdominal wall","Mild abdominopelvic problem, moderate abdominopelvic problem, and level 1 disfigurement",(combined DW),0.206,0.143,0.283
"Dysphagia or acid reflux, chronic abdominal pain and chronic respiratory problems due to congenital atresia and/or stenosis of the digestive tract","Mild abdominopelvic problem, moderate abdominopelvic problem, and mild COPD and other chronic respiratory problems",(combined DW),0.141,0.096,0.198
Disfigurement and developmental delay due to congenital diaphragmatic hernia,Level 1 disfigurement with itch/pain and mild intellectual disability,(combined DW),0.068,0.041,0.102
 Mild chronic respiratory problems and developmental delay due to congenital diaphragmatic hernia,Mild intellectual disability and mild COPD and other chronic respiratory problem,(combined DW),0.061,0.037,0.093
Moderate hearing loss with ringing due to other congenital anomalies,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Moderately severe hearing loss due to other congenital anomalies,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
Mild hearing loss with ringing due to other congenital anomalies,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Severe hearing loss due to other congenital anomalies,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
Moderate hearing loss due to other congenital anomalies,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Severe hearing loss with ringing due to other congenital anomalies,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
Mild hearing loss due to other congenital anomalies,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Complete hearing loss with ringing due to other congenital anomalies,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
Complete hearing loss due to other congenital anomalies,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
Profound hearing loss due to other congenital anomalies,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
Moderately severe hearing loss with ringing due to other congenital anomalies,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
Other congenital birth defects,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Profound hearing loss with ringing due to other congenital anomalies,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
Symptomatic seborrhoeic dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
Asymptomatic contact dermatitis,Asymptomatic,--,,,
Asymptomatic seborrhoeic dermatitis,Asymptomatic,--,,,
Severe atopic dermatitis,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576,0.401,0.731
Mild contact dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
Moderate contact dermatitis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
Mild atopic dermatitis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
Moderate atopic dermatitis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
Mild psoriasis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
Moderate psoriasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
Severe psoriasis,"Disfigurement, level 3, with itch/pain","has an obvious physical deformity that is very painful and itchy. The physical deformity makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.576,0.401,0.731
Moderate cellulitis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Mild cellulitis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Severe cellulitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Abscess and other bacterial skin diseases,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Impetigo,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Scabies,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
Other fungal skin diseases,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Tinea capitis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Mild viral warts,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Severe molluscum contagiosum,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Severe viral warts,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Mild molluscum contagiosum,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Mild acne vulgaris,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Moderate acne vulgaris,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Severe acne vulgaris,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.405,0.275,0.546
Severe alopecia areata,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
Mild alopecia areata,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
Pruritus,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
